ba_20_8_4
20
2
3
-2
2
-2
-4
4
2
4
-2
3
-3
2
2
-4
3
-3
2
-3
2
0 1 2
0 2 4
0 3 2
0 4 -4
0 5 2
0 6 -4
0 7 -3
0 8 -3
0 9 -4
0 10 2
0 11 -4
0 12 -2
0 13 -3
0 15 3
0 16 2
0 17 4
1 9 -4
1 10 4
1 11 2
1 13 3
1 15 -4
1 19 2
2 9 -4
2 10 -2
2 11 -2
2 13 4
2 17 4
2 18 3
3 9 4
3 10 3
3 11 -3
3 12 -3
3 14 4
3 15 -2
3 16 3
4 9 -4
4 11 -3
4 14 3
5 9 2
5 10 -4
5 12 3
5 14 3
5 18 -4
6 9 4
6 10 -2
6 12 4
6 14 2
6 16 2
7 9 2
7 11 -2
7 13 -4
7 17 4
8 10 4
8 12 -2
8 13 3
8 14 -3
8 17 3
9 10 2
9 11 3
9 12 4
9 13 4
9 14 -2
9 15 2
9 16 3
9 18 -3
9 19 -3
10 11 4
10 12 2
10 13 3
10 14 -4
10 15 -2
10 16 -4
10 17 4
10 18 3
10 19 -2
11 12 4
11 13 -2
11 14 -3
11 15 -2
11 18 2
11 19 2
12 15 -4
12 16 4
12 17 -4
12 19 -3
13 15 2
13 16 3
13 18 2
13 19 2
14 16 4
14 17 -4
14 18 2
15 19 4
16 17 -3
16 18 -2
18 19 -2
-1
-147
