ba_40_6_4
40
-2
-4
4
-4
3
-4
3
3
3
-2
4
-4
2
-2
2
-4
2
-4
-2
-4
-4
-4
-2
-3
-2
2
-3
4
-4
-4
3
2
-3
3
-4
4
4
-2
3
-2
0 1 2
0 2 3
0 3 3
0 4 2
0 5 2
0 6 -2
0 7 3
0 8 4
0 9 -3
0 10 -4
0 11 -2
0 12 3
0 13 2
0 14 -3
0 16 2
0 19 -4
0 20 3
0 23 -2
0 25 -4
0 29 4
0 31 -3
0 34 -4
0 35 -4
0 36 -3
0 37 4
0 39 2
1 7 -2
1 8 -4
1 9 -2
1 10 -3
1 12 4
1 13 2
1 14 -4
1 16 -3
1 24 3
1 28 2
1 33 4
2 11 -2
2 12 4
3 7 2
3 25 3
3 32 -2
4 7 -2
4 8 3
4 9 -2
4 10 -4
4 13 -4
4 14 3
4 18 2
4 30 4
4 32 -4
5 7 -2
5 8 4
5 10 2
5 15 -2
5 19 3
6 7 4
6 8 -4
6 9 2
6 10 -3
6 12 3
6 13 3
6 14 4
6 15 3
6 16 -3
6 17 4
6 21 -4
6 26 -3
6 35 2
6 37 2
7 8 4
7 9 -4
7 11 -3
7 12 -2
7 13 -4
7 15 3
7 17 2
7 18 -2
7 20 2
7 21 -3
7 22 3
7 24 4
7 32 2
8 9 -3
8 11 -2
8 12 2
8 13 4
8 15 -4
8 17 2
8 18 2
8 23 3
8 26 2
8 28 2
8 33 -3
9 10 4
9 11 -4
9 17 4
9 18 3
9 19 3
9 20 -2
9 24 -2
9 25 2
9 27 3
9 28 2
9 29 3
10 11 3
10 17 3
10 19 -3
10 21 4
10 22 4
10 23 -2
10 24 3
10 26 -3
10 29 -3
10 30 -3
10 31 4
10 35 -3
10 39 -4
11 15 -3
11 16 -2
11 18 -4
11 20 -2
11 22 -4
11 30 3
11 35 -3
11 38 -4
12 14 3
12 15 3
12 16 -2
12 20 2
12 21 3
12 22 4
12 31 3
12 32 4
12 38 -3
12 39 -3
13 14 -4
13 19 2
13 20 -2
13 27 4
13 28 2
13 30 2
13 33 -4
13 34 -2
13 37 -3
14 17 -3
14 27 -4
14 28 2
14 29 -3
15 16 -2
15 18 -3
15 21 3
15 23 4
15 32 2
15 37 -4
16 19 -2
16 21 2
16 23 3
16 30 -4
16 32 4
16 37 -4
17 22 -2
17 24 2
17 29 -3
17 35 4
17 36 2
18 31 2
18 34 -3
18 36 4
18 38 2
19 25 3
19 26 2
19 29 2
19 30 4
19 33 -4
20 22 4
20 36 4
20 39 2
22 23 3
22 24 -3
22 25 4
22 26 -3
22 27 -3
22 31 -3
22 33 3
22 34 -2
22 38 2
23 25 -2
23 26 4
23 27 3
23 31 3
24 27 -4
24 36 -3
26 39 3
27 28 3
27 38 3
29 35 3
29 36 2
31 33 2
32 34 2
33 34 2
33 37 -3
34 38 -2
38 39 4
-1
-307
