ba_60_8_8
60
5
7
-2
5
-2
-3
3
-5
3
5
2
7
3
-7
-8
8
5
-4
-8
-8
2
4
-8
6
6
6
3
7
-6
-3
4
-2
-3
4
-4
6
3
-8
-3
3
-8
-6
8
4
-6
-2
-2
2
-7
-7
-5
8
-4
-4
-4
-4
-3
2
-8
2
0 1 2
0 2 5
0 3 -3
0 4 -5
0 5 -2
0 6 3
0 7 -7
0 8 -4
0 9 -6
0 10 -2
0 11 -5
0 12 -2
0 13 8
0 15 7
0 16 4
0 17 -3
0 21 -7
0 22 2
0 23 -2
0 25 -4
0 26 6
0 28 -3
0 31 -2
0 37 -6
0 45 -8
0 48 -7
0 50 -4
0 56 8
0 58 8
1 9 3
1 10 -3
1 11 3
1 13 6
1 15 2
1 19 6
1 21 2
1 22 -8
1 23 -6
1 27 -8
1 40 6
1 41 2
1 44 5
1 49 4
1 58 2
2 9 -8
2 10 7
2 11 3
2 13 -5
2 17 -3
2 18 8
2 24 6
2 32 2
2 37 -5
2 39 3
2 46 6
2 47 2
2 53 5
2 55 3
2 57 5
3 9 -2
3 10 5
3 11 -4
3 12 6
3 14 -6
3 15 -4
3 16 5
3 28 -4
3 31 -3
3 41 -6
3 49 5
3 50 5
3 51 -7
3 52 -5
4 9 -3
4 11 -4
4 14 -7
4 30 2
4 40 -6
5 9 -2
5 10 -8
5 12 -8
5 14 8
5 18 6
5 36 7
5 56 6
6 9 -8
6 10 -7
6 12 -5
6 14 -6
6 16 4
6 20 6
6 25 7
6 35 -6
6 38 7
6 40 -5
6 47 -2
6 51 -3
7 9 -6
7 11 -8
7 13 6
7 17 -4
7 27 8
7 32 7
7 38 -5
7 42 -7
7 46 7
7 49 8
7 56 8
8 10 3
8 12 8
8 13 -7
8 14 -4
8 17 6
8 20 -5
8 23 -2
8 25 -4
8 26 6
8 30 -7
8 35 -5
8 39 4
8 42 7
8 43 2
8 47 8
8 58 -6
9 10 5
9 11 -8
9 12 -7
9 13 -8
9 14 -5
9 15 -8
9 16 2
9 18 6
9 19 -8
9 20 2
9 23 -8
9 24 5
9 25 8
9 28 8
9 30 -2
9 32 -4
9 36 5
9 42 7
9 45 -2
9 46 4
9 47 -7
9 51 -8
10 11 -2
10 12 -3
10 13 -5
10 14 2
10 15 -7
10 16 8
10 17 -3
10 18 -2
10 19 3
10 20 7
10 21 -4
10 24 5
10 25 4
10 27 -8
10 29 -5
10 31 5
10 32 5
10 33 3
10 34 -2
10 36 -2
10 37 4
10 38 5
10 41 -5
10 42 2
10 43 -2
10 44 -2
10 45 7
10 46 3
10 48 8
10 49 2
10 55 8
10 56 -8
10 57 -5
11 12 8
11 13 7
11 14 -7
11 15 7
11 18 -2
11 19 4
11 24 7
11 25 3
11 26 6
11 28 7
11 33 8
11 35 -4
11 37 -7
11 41 -2
11 43 3
11 44 2
11 47 -2
11 48 -5
11 52 7
11 53 2
11 57 6
12 15 -8
12 16 -3
12 17 -6
12 19 -5
12 20 2
12 29 -3
12 34 -5
12 36 8
12 43 -4
12 53 -5
12 59 -7
13 15 4
13 16 8
13 18 8
13 19 -4
13 21 -5
13 22 5
13 23 -5
13 27 -8
13 29 -3
13 32 -2
13 42 6
13 52 -6
13 53 -4
13 58 -5
14 16 -2
14 17 -7
14 18 -2
14 20 -3
14 21 8
14 22 -5
14 25 2
14 26 -7
14 29 4
14 33 4
14 37 -3
14 40 -4
14 43 -7
14 45 6
14 52 6
14 58 -4
14 59 4
15 19 -7
15 33 -6
15 44 -3
15 54 -3
16 17 7
16 18 8
16 21 2
16 22 -2
16 23 8
16 26 -5
16 29 3
16 33 -2
16 37 2
16 38 -2
16 39 -2
16 41 8
16 46 -3
16 50 3
17 20 4
17 26 4
17 27 2
17 28 -2
17 29 6
17 32 -2
17 44 3
17 46 3
17 53 7
17 55 8
17 56 -8
17 57 7
18 19 8
18 20 8
18 21 8
18 24 -7
18 30 4
18 31 -8
18 38 7
18 39 -6
18 40 -7
18 48 2
18 50 8
18 52 -4
18 59 -7
19 22 -5
19 23 3
19 25 6
19 26 2
19 32 -8
19 34 3
19 35 2
19 45 -6
19 54 -2
20 21 7
20 22 3
20 23 -7
