er_20_10_4
20
4
2
-2
-4
-3
2
2
-4
-3
-4
2
-3
-4
4
-2
2
4
3
2
4
0 1 2
0 2 3
0 3 2
0 5 -4
0 7 -4
0 8 -4
0 10 3
0 14 -3
0 19 4
1 2 2
1 3 -2
1 5 2
1 6 4
1 8 -4
1 10 -2
1 13 -4
1 16 4
1 17 2
1 18 4
2 4 -2
2 7 -2
2 11 -3
2 13 -3
2 14 4
2 16 -3
2 17 2
2 19 -4
3 4 -3
3 5 -2
3 6 3
3 7 -2
3 9 -2
3 10 3
3 11 2
3 12 2
3 14 -2
4 7 2
4 8 4
4 9 2
4 10 -3
4 11 4
4 15 -2
4 16 -2
5 8 -4
5 10 3
5 13 3
5 14 3
5 15 -2
5 16 -2
5 17 -4
5 18 4
5 19 -4
6 7 3
6 9 4
6 11 -2
6 12 -4
6 15 -4
6 17 -4
6 19 -4
7 8 2
7 9 2
7 10 3
7 11 3
7 12 2
7 14 -3
7 18 -4
7 19 4
8 9 -2
8 10 2
8 11 -4
8 13 3
8 14 4
8 15 -4
8 16 -3
8 17 -2
8 18 -4
8 19 2
9 10 2
9 12 -2
9 13 -4
10 12 2
10 14 3
10 15 -2
10 17 4
10 19 -3
11 13 -3
11 15 3
11 19 -3
12 13 -3
12 15 4
12 19 4
13 18 2
14 15 3
14 16 -4
15 16 -3
15 18 -3
16 17 4
16 19 -4
17 18 -2
17 19 2
18 19 -3
-1
-151
