er_20_8_4
20
-3
-2
2
2
-4
-4
-4
2
-4
4
4
2
-4
2
2
-3
4
4
-3
-4
0 1 2
0 2 3
0 3 3
0 5 -4
0 7 -3
0 8 4
0 14 -2
0 19 -3
1 2 -4
1 3 -3
1 5 -2
1 6 -3
1 8 -3
1 10 -3
1 13 3
1 16 -4
1 17 2
1 18 -4
2 4 4
2 7 -3
2 11 3
2 13 -2
2 14 2
2 16 -3
2 19 2
3 4 -3
3 5 4
3 7 4
3 9 -3
3 10 3
3 11 -4
3 12 4
3 14 -4
4 7 -3
4 8 3
4 9 3
4 10 -4
4 11 -4
4 15 3
4 16 4
5 8 -2
5 14 -3
5 15 -4
5 16 -3
5 17 -3
5 18 4
5 19 -4
6 7 -3
6 9 -4
6 15 -3
6 19 -4
7 8 3
7 9 2
7 10 -3
7 11 2
7 12 -2
7 14 -2
7 18 2
7 19 -3
8 9 2
8 10 4
8 11 -4
8 13 4
8 15 4
8 16 -2
8 17 -3
8 18 -4
8 19 -2
9 10 3
9 13 2
10 12 4
10 14 -2
10 15 4
10 17 4
10 19 4
11 13 3
11 15 3
11 19 -3
12 13 -2
12 15 -2
12 19 4
14 15 -4
14 16 -3
15 16 3
15 18 2
16 17 4
16 19 -4
17 18 -4
17 19 -4
-1
-145
